id,owner_name,owner_father_name,owner_city,owner_cnic,owner_tax_paid,number_plate,engine_number,make_name,register_date,year_of_manufacture,vehicle_price,color,token,is_stolen
1,Fasih Muhammad,Muhammad Ilyas,Karachi,3520101030087,True,YA589,XYZ123456789,Toyota,2022-01-01,2020,25000,Blue,Q0609,False
2,Fatima Malik,Fatima Malik Sr.,Lahore,9876543210987,False,RIA245,ABC987654322,Ford,2022-02-15,2018,20000,Red,R8924,True
3,Asad Ahmed,Asad Ahmed Sr.,Islamabad,4567890123456,True,AKD302,MNO987654321,Chevrolet,2022-03-20,2019,30000,Green,G8905,False
4,Sana Ali,Sana Ali Sr.,Rawalpindi,7890123456789,False,ALA461,PQR123456781,Honda,2022-04-10,2021,28000,Yellow,L5213,False
5,Ahmed Hassan,Ahmed Hassan Sr.,Karachi,2345678901234,True,AMZ596,STU987654321,Hyundai,2022-05-05,2017,18000,Black,F0525,True
6,Sarah Aslam,Sarah Aslam Sr.,Lahore,5678901234567,False,DY270,VWX123456781,Nissan,2022-06-15,2015,22000,Orange,P7382,False
7,Ahmed Bilal,Ahmed Bilal Sr.,Islamabad,8901234567890,True,ALH685,DEF987654322,Chevrolet,2022-07-20,2022,32000,Silver,E4446,False
8,Zainab Ahmed,Zainab Ahmed Sr.,Karachi,1234012345678,False,VS638,JKL987654322,Ford,2022-08-10,2016,19000,Green,E8656,False
9,Mohammad Iqbal,Mohammad Iqbal Sr.,Rawalpindi,3456789012345,True,ARV232,GHI987654322,Toyota,2022-09-05,2014,21000,Blue,B1570,True
10,Fariha Khan,Fariha Khan Sr.,Islamabad,6789012345678,False,VW619,ABC987654323,Honda,2022-10-12,2023,28000,Red,D4288,False
11,Ahmed Ali,Ahmed Ali Sr.,Karachi,9012345678901,True,FG830,XYZ123456783,Nissan,2022-11-25,2019,30000,Yellow,E5032,False
12,Maria Akram,Maria Akram Sr.,Rawalpindi,2345678901234,False,ANV324,ABC987654324,Toyota,2023-01-03,2017,24000,Black,I0707,True
13,Imran Ali,Imran Ali Sr.,Islamabad,5678901234567,True,ALJ735,DEF987654323,Ford,2023-02-18,2021,27000,Silver,H3736,False
14,Ayesha Ahmed,Ayesha Ahmed Sr.,Karachi,8901234567890,False,UK308,PQR123456784,Chevrolet,2023-03-22,2018,23000,Orange,O2554,False
15,Zubair Ahmed,Zubair Ahmed Sr.,Rawalpindi,1234012345678,True,AJT995,VWX987654325,Honda,2023-04-15,2016,26000,Blue,J8250,False
16,Sana Ilyas,Sana Ilyas Sr.,Lahore,3456789012345,False,NG995,DEF987654326,Hyundai,2023-05-10,2015,19000,Green,M3134,True
17,Nasir Mehmood,Nasir Mehmood Sr.,Karachi,5678901234567,True,LWB4543,ABC123456780,Toyota,2023-06-05,2022,30000,Red,G1897,False
18,Mehak Khan,Mehak Khan Sr.,Lahore,8901234567890,False,AZG438,JKL987655521,Ford,2023-07-12,2017,24000,Yellow,S5576,True
19,Imran Khan,Imran Khan Sr.,Islamabad,1234012345678,True,ALZ546,GHI987654323,Chevrolet,2023-08-20,2019,27000,Black,J7384,False
20,Aisha Aamir,Aisha Aamir Sr.,Rawalpindi,2345678901234,False,MF074,MNO123456789,Honda,2023-09-15,2014,22000,Silver,F9857,False
21,Ismail Ahmed,Ismail Ahmed Sr.,Karachi,5678901234567,True,RIB334,PQR987654323,Hyundai,2023-10-22,2016,26000,Orange,B5617,False
22,Aliya Asif,Aliya Asif Sr.,Lahore,8901234567890,False,ZW661,VWX123456780,Nissan,2023-11-18,2018,25000,Blue,A6999,True
23,Adnan Ahmed,Adnan Ahmed Sr.,Islamabad,1234012345678,True,PJ902,DEF987654320,Ford,2023-12-03,2020,28000,Green,N6974,True
24,Sadia Khan,Sadia Khan Sr.,Karachi,2345678901234,False,FJ094,ABC987654321,Toyota,2024-01-08,2015,19000,Yellow,G4728,True
25,Ahmed Hussain,Ahmed Hussain Sr.,Rawalpindi,5678901234567,True,LE3613,XYZ023456789,Honda,2024-02-15,2021,30000,Black,G9190,False
26,Fatima Bibi,Fatima Bibi Sr.,Lahore,8901234567890,False,MNA3249,GHI987654321,Hyundai,2024-03-22,2019,26000,Silver,S9445,False
27,Saad Iqbal,Saad Iqbal Sr.,Islamabad,1234012345678,True,AGZ026,PQR123456789,Chevrolet,2024-04-10,2018,24000,Orange,T2543,False
